id,izhodisce,cas,zahtevnost,pot,visinaizhodisca,visinskarazlika
194,Uskovnica (Lom),305,zahtevna označena pot,čez planino Spodnji Tosc,1076,1325
194,Srednja vas,390,zahtevna označena pot,Za Ribnico in čez planino Spodnji Tosc,583,1818
1452,Koča pri Savici,330,zahtevna označena pot,,653,1745
1452,Koča  pri Savici,435,zahtevna označena pot,mimo Zasavske koče,653,1745
1452,Planina Blato,345,zahtevna označena pot,čez Štapce,1147,1251
1452,Planina Blato,435,zahtevna označena pot,Za Kopico,1147,1251
1452,Vas na Skali,300,zelo zahtevno brezpotje,na greben Špičja po Tumovi smeri,980,1418
1452,Trenta,390,zahtevna označena pot,,620,1778
1452,Zadnjica,390,zahtevna označena pot,,650,1748
1155,Dolina Kot,360,zahtevna označena pot,,950,1443
1155,Aljažev dom v Vratih,380,zelo zahtevna označena pot,Tominškova pot,1015,1378
1155,Aljažev dom v Vratih,390,zahtevna označena pot,čez Prag,1015,1378
1155,Dolina Krma,435,zahtevna označena pot,,944,1449
1647,Aljažev dom v Vratih,270,zahtevna označena pot,čez Luknjo,1015,1377
1647,Aljažev dom v Vratih,285,zahtevna označena pot,čez Sovatno,1015,1377
1647,Zadnjica,315,zahtevna označena pot,čez Luknjo,650,1742
1383,Planina Blato,240,zahtevno brezpotje,čez planino v Lazu,1147,1243
11539,Planina Blato,300,lahko brezpotje,čez Planino v Lazu in po Dolini za Debelim vrhom,1147,1241
11539,Zadnjica,360,lahko brezpotje,čez Dolič,690,1698
11539,Planina Blato,315,lahko brezpotje,čez Planino Krstenico in po Dolini za Debelim vrhom,1147,1241
11539,Koča pri Savici,360,"zahtevna označena pot, lahko brezpotje",,653,1735
11348,Zadnjica,330,lahko brezpotje,Indijanec,650,1732
11348,Aljažev dom v Vratih,360,"delno zahtevna označena pot, lahko brezpotje",Indijanec,1015,1367
11327,Vršič,270,zahtevno brezpotje,pri Mojstrovkah) (po grebenu,1611,768
11327,Vršič,260,"delno zahtevna označena pot, zahtevno brezpotje",pri Mojstrovkah,1611,768
13334,Aljažev dom v Vratih,285,"lahko brezpotje, delno zahtevna označena pot",Julijske Alpe,1015,1357
13139,Gozdec,280,lahka označena pot,,1075,1296
13139,D postaja,2700,zahtevna označena pot,,2202,169
13139,D postaja,75,zahtevna označena pot,mimo Doma Petra Skalarja na Kaninu,2202,169
11349,Zadnjica,315,zahtevno brezpotje,,650,1716
11349,Aljažev dom v Vratih,345,"delno zahtevna označena pot, zahtevno brezpotje",čez Sovatno in mimo Pogačnikovega doma,1015,1351
1386,Vršič,150,zahtevna neoznačena steza,južna pot,1611,755
11612,Konec ceste na Pokljuki,340,zahtevno brezpotje,,1340,1018
11612,Zadnjica,360,zahtevno brezpotje,,650,1708
11612,Dolina Krma,370,zahtevno brezpotje,,944,1414
11612,Aljažev dom v Vratih,415,zahtevno brezpotje,mimo Koče na Doliču,1015,1343
11623,Aljažev dom v Vratih,300,"delno zahtevna označena pot, lahko brezpotje",čez Sovatno,1015,1341
11326,Vršič,195,zahtevno brezpotje,čez Šitno glavo,1611,743
11326,Vršič,185,"delno zahtevna označena pot, zahtevno brezpotje",,1611,743
11328,Vršič,285,zahtevno brezpotje,po grebenu,1611,739
11328,Vršič,275,"delno zahtevna označena pot, zahtevno brezpotje",,1611,739
1106,Zadnjica,405,zahtevno brezpotje,čez Dolič,650,1700
11058,Pod Zjabci,345,zahtevno brezpotje,čez Travnik,745,1603
1679,Soča,330,zahtevna označena pot,,500,1847
1679,Zadnja Trenta (Flori),270,zelo zahtevna označena pot,direktna pot,900,1447
1679,Zadnja Trenta (Flori),285,zelo zahtevna označena pot,čez Kanski preval,900,1447
11370,Bavšica,300,zahtevna neoznačena steza,,698,1648
11383,Dolina Krma,285,lahko brezpotje,,944,1398
11383,Konec ceste na Pokljuki,285,"zahtevna označena pot, lahko brezpotje",,1340,1002
11383,Uskovnica (Razpotje),315,"zahtevna označena pot, lahko brezpotje",čez planino Spodnji Tosc,1215,1127
1224,Vršič,135,zelo zahtevna označena pot,Hanzova pot,1611,721
1224,Vršič,135,delno zahtevna označena pot,južna pot,1611,721
1224,Vršič,135,"lahka neoznačena steza, zahtevna označena pot",čez Šitno glavo,1611,721
1224,Dom v Planici,285,zelo zahtevna označena pot,skozi Grlo,834,1498
1224,Erjavčeva koča na Vršiču,145,zelo zahtevna označena pot,Hanzova pot,1525,807
1203,Dolina Kot,240,delno zahtevna označena pot,,950,1382
1203,Dolina Krma,315,lahka označena pot,,944,1388
1203,Aljažev dom v Vratih,260,zelo zahtevna označena pot,Tominškova pot,1015,1317
1203,Aljažev dom v Vratih,270,zahtevna označena pot,čez Prag,1015,1317
1203,Konec ceste na Pokljuki,360,zahtevna označena pot,,1340,992
1203,Dolina Krma,300,lahka neoznačena steza,skozi Travno dolino,944,1388
1203,Turkov rovt (Vrata),250,lahko brezpotje,snežni pristop,941,1391
1203,Uskovnica (Lom),395,zahtevna označena pot,čez planino Spodnji Tosc,1076,1256
1203,Uskovnica (Razpotje),390,zahtevna označena pot,čez planino Spodnji Tosc,1215,1117
1203,Stara Fužina,465,lahka označena pot,,600,1732
1384,Planina Blato,255,lahko brezpotje,snežni pristop,1147,1180
11379,Bavšica,300,"zelo zahtevna označena pot, zelo zahtevno brezpotje",,698,1626
1385,Planina Blato,270,lahka neoznačena steza,Za Kopico,1147,1173
1385,Planina  Blato,360,"delno zahtevna označena pot, lahko brezpotje",čez Štapce,1147,1173
1385,Koča pri Savici,360,"zahtevna označena pot, lahko brezpotje",čez Vrata,653,1667
1385,Koča pri Savici,375,"zahtevna označena pot, lahko brezpotje",čez Štapce,653,1667
1453,Koča pri  Savici,360,"zahtevna označena pot, lahka neoznačena steza",mimo Zasavske koče,653,1659
1453,Planina Blato,360,zahtevna neoznačena steza,Za Kopico,1147,1165
1453,Trenta,315,"lahka označena pot, lahka neoznačena steza",,620,1692
1453,Zadnjica,315,"lahka označena pot, lahka neoznačena steza",,650,1662
1456,Planina Blato,270,lahka označena pot,Za Kopico,1147,1163
1456,Planina Blato,315,delno zahtevna označena pot,čez Štapce,1147,1163
1456,Koča pri Savici,345,zahtevna označena pot,čez Štapce,653,1657
1456,Koča pri Savici,360,zahtevna označena pot,čez Vrata,653,1657
11639,Planina Blato,270,zelo zahtevno brezpotje,po zahodnem grebenu,1147,1162
11639,Planina Blato,300,zelo zahtevno brezpotje,po vzhodnem grebenu,1147,1162
1682,Dolina Kot,240,zelo zahtevna označena pot,pot Lojzeta Rekarja,950,1349
1422,D postaja,60,zelo zahtevno brezpotje,,2202,87
1422,Gozdec,265,zelo zahtevno brezpotje,,1075,1214
183,Konec ceste na Pokljuki,225,lahka neoznačena steza,,1340,935
183,Uskovnica (Razpotje),255,"zahtevna označena pot, lahka neoznačena steza",,1215,1060
183,Rudno polje,245,lahko brezpotje,,1347,928
183,Uskovnica (Lom),260,"zahtevna označena pot, lahka neoznačena steza",čez planino Spodnji Tosc,1076,1199
183,Srednja vas,345,"zahtevna označena pot, lahka neoznačena steza",Za Ribnico in čez planino Spodnji Tosc,583,1692
183,Krma,300,"delno zahtevna označena pot, zelo zahtevno brezpotje",severni pristop iz Bohinjskih vratc,946,1329
11062,Poldov  rovt (Vrata),285,zahtevna neoznačena steza,čez Brinje,941,1331
11062,Poldov  rovt (Vrata),270,zahtevna neoznačena steza,mimo bivaka,941,1331
1328,Gozdec,255,lahka označena pot,,1075,1185
1328,D postaja,3000,zahtevna označena pot,,2202,58
1328,D postaja,65,zahtevna označena pot,čez Vrh Osojnic,2202,58
11057,Pod Zjabci,285,"zahtevna neoznačena steza, lahko brezpotje",,745,1507
1150,Planina Kuhinja,195,lahka označena pot,,991,1253
1150,Dom v Lepeni,300,lahka označena pot,,700,1544
1150,Drežnica,300,zelo zahtevna označena pot,pot Silva Korena,553,1691
1150,Koča pri Savici,465,lahka označena pot,mimo Krnskega jezera,653,1591
1150,Planina Kuhinja,285,delno zahtevna označena pot,mimo jezera v Lužnici,991,1253
1150,Drežnica,300,lahka označena pot,južna pot,553,1691
1150,Koča na planini Kuhinja,190,lahka označena pot,,1002,1242
1150,Koča pri Savici,470,delno zahtevna označena pot,čez Prehodce,653,1591
1150,Krn,325,delno zahtevna označena pot,čez planino Sleme,900,1344
1150,Planina Polog,405,delno zahtevna označena pot,čez Prehodce,457,1787
1150,Planina Polog,390,delno zahtevna označena pot,čez planino Sleme,457,1787
1397,Konec ceste na Pokljuki,180,delno zahtevna neoznačena pot,,1340,903
1397,Rudno polje,210,"zahtevna označena pot, delno zahtevna neoznačena pot",čez Kačji rob,1347,896
1397,Rudno polje,200,delno zahtevna neoznačena pot,čez Jezerce in Studorski preval,1347,896
1397,Uskovnica (Razpotje),255,"zahtevna označena pot, delno zahtevna neoznačena pot",čez planino Spodnji Tosc,1215,1028
1397,Konec ceste na Pokljuki,195,zahtevno brezpotje,pot čez severni raz,1340,903
1397,Uskovnica (Razpotje),215,delno zahtevna neoznačena pot,čez Jezerce in Studorski preval,1215,1028
1397,Uskovnica (Lom),235,delno zahtevna neoznačena pot,čez Jezerce in Studorski preval,1076,1167
1397,Uskovnica (Lom),255,"zahtevna označena pot, delno zahtevna neoznačena pot",čez planino Spodnji Tosc,1076,1167
1397,Srednja vas,340,"zahtevna označena pot, delno zahtevna neoznačena pot",Za Ribnico in čez planino Spodnji Tosc,583,1660
1397,Srednja vas,320,delno zahtevna neoznačena pot,"Za Ribnico, čez Jezerce in Studorski preval",583,1660
170,Koča pri Savici,420,lahko brezpotje,,653,1575
170,Pod Zjabci,315,lahko brezpotje,,745,1483
170,Konec ceste na Vogar,440,lahko brezpotje,čez Prode,1350,878
170,Planina Blato,435,"delno zahtevna označena pot, lahko brezpotje",čez Štapce,1147,1081
170,Planina Blato,435,lahko brezpotje,čez Prode,1147,1081
170,Konec ceste na Vogar,440,"delno zahtevna označena pot, lahko brezpotje",čez Štapce,1350,878
170,Koča pri Savici,465,lahko brezpotje,čez Komno,653,1575
1714,Planina Blato,240,lahko brezpotje,,1147,1079
1714,Konec ceste na Vogar,285,lahko brezpotje,mimo Grive,1350,876
11388,Konec ceste na Pokljuki,255,zelo zahtevno brezpotje,,1340,885
11388,Dolina Krma,270,zelo zahtevno brezpotje,,930,1295
11388,Stara Fužina,360,zelo zahtevno brezpotje,,600,1625
11388,Planina Blato,300,zelo zahtevno brezpotje,čez Grintovico,1147,1078
11388,Uskovnica (Razpotje),285,zelo zahtevno brezpotje,,1215,1010
11388,Uskovnica (Lom),290,zelo zahtevno brezpotje,,1076,1149
11388,Srednja vas,375,zelo zahtevno brezpotje,Za Ribnico in čez planino Spodnji Tosc,583,1642
1414,Trdnjava Kluže,300,lahka označena pot,,532,1676
1414,Zavrzelno,300,delno zahtevna označena pot,,700,1508
1414,D postaja,300,delno zahtevna označena pot,,2202,6
1414,Nevejski preval,405,delno zahtevna označena pot,pot 636,1170,1038
1414,Nevejski preval,390,delno zahtevna označena pot,po smučarski progi,1170,1038
12072,Zadnjica,295,lahko brezpotje,Vršac nad Zadnjico,650,1544
12072,Zadnjica,395,"zelo zahtevna označena pot, lahko brezpotje",Vršac nad Zadnjico) (pot Mire Marko Debelakove,650,1544
12072,Trenta,295,lahko brezpotje,Vršac nad Zadnjico,620,1574
12072,Koča pri Savici,340,"zahtevna označena pot, lahko brezpotje",Vršac nad Zadnjico,653,1541
12072,Planina Blato,340,lahko brezpotje,Vršac nad Zadnjico) (po dolini Za Kopico,1147,1047
1455,Planina Blato,270,"lahka označena pot, lahko brezpotje",čez Štapce,1147,1043
1455,Koča pri Savici,300,"zahtevna označena pot, lahko brezpotje",,653,1537
1455,Konec ceste na Vogar,275,"lahka označena pot, lahko brezpotje",čez Štapce,1350,840
11377,Loška Koritnica,225,"zelo zahtevna označena pot, delno zahtevna neoznačena pot",Loška stena,780,1404
11377,Bavšica,270,delno zahtevna neoznačena pot,Loška stena,698,1486
1410,Planina Kuhinja,185,lahka označena pot,,991,1191
1410,Dom v Lepeni,300,lahka označena pot,,700,1482
1410,Drežnica,290,zelo zahtevna označena pot,pot Silva Korena,553,1629
1410,Koča na planini Kuhinja,180,lahka označena pot,,1002,1180
1410,Drežnica,290,lahka označena pot,južna pot,553,1629
